Session#,Title,Video URL
1,毛毛蟲變蝴蝶(1),https://www.youtube.com/watch?v=DOHl7JYkE9k
1,毛毛蟲變蝴蝶(2),https://www.youtube.com/watch?v=qWtwjxyogfU
1,毛毛蟲變蝴蝶(3),https://www.youtube.com/watch?v=A0J_l48Tj3M
1,毛毛蟲變蝴蝶(5),https://www.youtube.com/watch?v=bZZ2CdSNkSc
1,毛毛蟲變蝴蝶(6),https://www.youtube.com/watch?v=ZhcM0s-UJaQ
1,毛毛蟲變蝴蝶(7),https://www.youtube.com/watch?v=8VNg3KyFP4A
1,毛毛蟲變蝴蝶(8),https://www.youtube.com/watch?v=MVBQpPRI6dA
1,毛毛蟲變蝴蝶(9),https://www.youtube.com/watch?v=Jtu4cVPLfug
1,毛毛蟲變蝴蝶(10),https://www.youtube.com/watch?v=j-Pcqo4WejU
1,毛毛蟲變蝴蝶(11),https://www.youtube.com/watch?v=LbNA3156olE
1,毛毛蟲變蝴蝶(12),https://www.youtube.com/watch?v=GInRgCM5BRc
1,毛毛蟲變蝴蝶(13),https://www.youtube.com/watch?v=RxGdl5Ri-3o
1,毛毛蟲變蝴蝶(14),https://www.youtube.com/watch?v=5vrzEwPVcuw
1,毛毛蟲變蝴蝶(15),https://www.youtube.com/watch?v=gxjGvYFg9iU
1,毛毛蟲變蝴蝶(16),https://www.youtube.com/watch?v=9UGMQ8Juar4
1,毛毛蟲變蝴蝶(17),https://www.youtube.com/watch?v=mWghxbdMnP4
1,毛毛蟲變蝴蝶(18),https://www.youtube.com/watch?v=pdrOKI3C7n0
1,毛毛蟲變蝴蝶(20),https://www.youtube.com/watch?v=69kNWnVlaDY
1,毛毛蟲變蝴蝶(21),https://www.youtube.com/watch?v=xX0bmgUJO7w
1,毛毛蟲變蝴蝶(22),https://youtu.be/hu2fGKpQVZo
1,毛毛蟲變蝴蝶(23),https://youtu.be/MNWFw7FVGUA
1,毛毛蟲變蝴蝶(24),https://youtu.be/75PZFWZXGQ0
1,毛毛蟲變蝴蝶(25),https://youtu.be/q7iZgnza3aE
1,毛毛蟲變蝴蝶(26),https://youtu.be/dY_sqQeDf1o
1,毛毛蟲變蝴蝶(27),
1,毛毛蟲變蝴蝶(28),
1,毛毛蟲變蝴蝶(29),
1,毛毛蟲變蝴蝶(30),https://www.youtube.com/watch?v=dlv0knUv5-4
1,毛毛蟲變蝴蝶(31),https://www.youtube.com/watch?v=z5ukofECF5o
1,毛毛蟲變蝴蝶(32),https://www.youtube.com/watch?v=b1me7pJVIAg
1,毛毛蟲變蝴蝶(33),https://www.youtube.com/watch?v=ML7L6qXI5Cg
1,毛毛蟲變蝴蝶(34),https://www.youtube.com/watch?v=vx0XX6oyXpc
1,毛毛蟲變蝴蝶(35),https://www.youtube.com/watch?v=aNo_hVH0GkE
1,毛毛蟲變蝴蝶(36),https://www.youtube.com/watch?v=Mf5hVZmJBDg
1,毛毛蟲變蝴蝶(37),https://www.youtube.com/watch?v=vKo2a7hNP0Y
1,毛毛蟲變蝴蝶(38),https://www.youtube.com/watch?v=jz_28tko4KY
2,癌細胞變成快樂佛細胞01,https://www.youtube.com/watch?v=splvL30dP4I
2,癌細胞變成快樂佛細胞02,https://www.youtube.com/watch?v=2UO5T5o-PO4
2,癌細胞變成快樂佛細胞03,https://www.youtube.com/watch?v=88QNRpcMZxM
2,癌細胞變成快樂佛細胞04,https://www.youtube.com/watch?v=gG3jUK3JwnE
2,癌細胞變成快樂佛細胞05,https://www.youtube.com/watch?v=AWZMQNF-Y58
2,癌細胞變成快樂佛細胞06,https://www.youtube.com/watch?v=V__KmfScsDA
2,癌細胞變成快樂佛細胞07,https://www.youtube.com/watch?v=LiBhdPRQkzc
2,癌細胞變成快樂佛細胞08,https://www.youtube.com/watch?v=Gho_urahFFU
2,癌細胞變成快樂佛細胞09,https://www.youtube.com/watch?v=sc0BL5XX3gI
3,發菩提心 1/8,https://www.youtube.com/watch?v=e5zIw2JAtvY
3,發菩提心 2/8,https://www.youtube.com/watch?v=BBBQfRpkDo4
3,發菩提心 3/8,https://www.youtube.com/watch?v=wo8Ic7zxroA
3,發菩提心 4/8,https://www.youtube.com/watch?v=UNGCGLpFyM0
3,發菩提心 5/8,https://www.youtube.com/watch?v=n-Dy-EyxphU
3,發菩提心 6/8,https://www.youtube.com/watch?v=dTwuHU2cF0c
3,發菩提心 7/8,https://www.youtube.com/watch?v=qrIYD8rAtd8
3,發菩提心 8/8,https://www.youtube.com/watch?v=-Gzrl6ZuBVQ
4,0101-出版緣起與說明,https://www.youtube.com/watch?v=HuDBIuLBOqY
4,0102-前言,https://www.youtube.com/watch?v=tNe3bbQf2Wg
4,0103-「靠自力」和「靠佛力」,https://www.youtube.com/watch?v=jqeBrd-j6iE
4,0104-念佛，佛能不能幫我們背業,https://www.youtube.com/watch?v=kbR2iSL0Yrg
4,0105-釋迦族的故事,https://www.youtube.com/watch?v=zJOQpXJDzHU
4,0106-要怎樣臨終時佛才會來呢？,https://www.youtube.com/watch?v=mTNPcHLFgNE
4,0107-「仗他力」就是淨土法門最妙的訣竅,https://www.youtube.com/watch?v=4u7pv0w-ccc
4,0201-師父指正一位童子的看法,https://www.youtube.com/watch?v=KMER-pFPJW4
4,0202-「不昧因果」和「不落因果」,https://www.youtube.com/watch?v=djXkyesHcJ8
4,0203-要弄清楚往生的條件,https://www.youtube.com/watch?v=p9WSTpCvc1s
4,0204-持名功夫之深淺，看各人對佛號的體認,https://www.youtube.com/watch?v=EJenA2v42jw
4,0205-要怎樣體會自性呢？,https://www.youtube.com/watch?v=1dG36GHkQJA
4,0206-「信持名」和「信佛力」,https://www.youtube.com/watch?v=kxGSYonxehw
4,0207-不要忽視了基層的修持,https://www.youtube.com/watch?v=2bxHSx9EO_8
4,0301-「人天有漏福業福德少，不可生淨土」的問題,https://www.youtube.com/watch?v=G_5IGQ3HtaM
4,0302-往生與否，全由信願之有無,https://www.youtube.com/watch?v=1tYKdD4Ko14
4,0303-問題四則,https://www.youtube.com/watch?v=qiOZnRXhBiI
4,0304-一個念佛實例的分析,https://www.youtube.com/watch?v=m1MMlbi7ur4
4,0305-念佛，到底念的是不是佛,https://www.youtube.com/watch?v=qrl_xoepaC4
4,0306-最後的叮嚀,https://www.youtube.com/watch?v=qjWvouvQIU0
5,畫佛因緣 01/14,https://youtu.be/gT2pZKi8Pns
5,畫佛因緣 02/14,https://www.youtube.com/watch?v=3dCPFvxzgx0
5,畫佛因緣 03/14,https://www.youtube.com/watch?v=PhFEiJVLcYA
5,畫佛因緣 04/14,https://www.youtube.com/watch?v=4ZvGLgyOrwg
5,畫佛因緣 05/14,https://www.youtube.com/watch?v=etf35VvFbkA
5,畫佛因緣 06/14,https://www.youtube.com/watch?v=8GpC0JP3qvI
5,畫佛因緣 07/14,https://www.youtube.com/watch?v=0D-SPiuBuQc
5,畫佛因緣 08/14,https://www.youtube.com/watch?v=jP79Dy4IfjM
5,畫佛因緣 09/14,https://www.youtube.com/watch?v=PCCJw8vzEpY
5,畫佛因緣 10/14,https://www.youtube.com/watch?v=8kKkMin_iTw
5,畫佛因緣 11/14,https://www.youtube.com/watch?v=Uyn9bDfFyAY
5,畫佛因緣 12/14,https://www.youtube.com/watch?v=CBgDnDqti3M
5,畫佛因緣 13/14,https://www.youtube.com/watch?v=OZri_gxjJvk
5,畫佛因緣 14/14,https://www.youtube.com/watch?v=gl8uSupaGVU
6,朝聖之旅 1/9,https://www.youtube.com/watch?v=GaT9xyLWi_U
6,朝聖之旅 2/9,https://www.youtube.com/watch?v=jf8KpXvZf8o
6,朝聖之旅 3/9,https://www.youtube.com/watch?v=hg57jIqPHY8
6,朝聖之旅 4/9,https://www.youtube.com/watch?v=UycpNMtwukA
6,朝聖之旅 5/9,https://www.youtube.com/watch?v=JK3JNM_9FaU
6,朝聖之旅 6/9,https://www.youtube.com/watch?v=NXEflIefUCQ
6,朝聖之旅 7/9,https://www.youtube.com/watch?v=Yjsll4Axcmw
6,朝聖之旅 8/9,https://www.youtube.com/watch?v=VNY4hHIYy7U
6,朝聖之旅 9/9,https://www.youtube.com/watch?v=B-hZwjtfzGQ